"variable","countyfips","year","value"
"JOBSI0C","3","1990",6298.89631317718
"JOBSI0C","7","1990",2357.63401084843
"JOBSI0C","9","1990",1879.08026868626
"JOBSI0C","11","1990",1918.73606124546
"JOBSI0C","15","1990",5274.59240710493
"JOBSI0C","17","1990",1042.57879399294
"JOBSI0C","19","1990",2656.26956385291
"JOBSI0C","21","1990",2137.40834002864
"JOBSI0C","23","1990",1069.03759300757
"JOBSI0C","25","1990",1085.64644103902
"JOBSI0C","27","1990",603.095082470679
"JOBSI0C","29","1990",7049.22788252737
"JOBSI0C","33","1990",634.365831560723
"JOBSI0C","37","1990",17474.4066789262
"JOBSI0C","39","1990",2487.8682907538
"JOBSI0C","41","1990",209299.205866771
"JOBSI0C","43","1990",11085.6346891248
"JOBSI0C","45","1990",15460.8947857693
"JOBSI0C","47","1990",652.905786681801
"JOBSI0C","49","1990",5425.84312352843
"JOBSI0C","51","1990",6173.68441268474
"JOBSI0C","53","1990",215.840543304768
"JOBSI0C","55","1990",1785.44989721664
"JOBSI0C","57","1990",748.986023671043
"JOBSI0C","61","1990",732.04876264183
"JOBSI0C","63","1990",3746.22306078929
"JOBSI0C","65","1990",2252.29324575334
"JOBSI0C","67","1990",17193.1803003695
"JOBSI0C","69","1990",92656.4417894263
"JOBSI0C","71","1990",4952.12795512885
"JOBSI0C","73","1990",2296.02832587459
"JOBSI0C","75","1990",8698.173605148
"JOBSI0C","77","1990",43978.1634174238
"JOBSI0C","79","1990",330.629470631748
"JOBSI0C","81","1990",5344.897445001
"JOBSI0C","83","1990",8209.03555444754
"JOBSI0C","85","1990",11446.2042204293
"JOBSI0C","87","1990",10602.1024837335
"JOBSI0C","89","1990",8216.46393038418
"JOBSI0C","91","1990",1110.04490279918
"JOBSI0C","93","1990",1606.58270083104
"JOBSI0C","95","1990",1760.98162828991
"JOBSI0C","97","1990",15623.0758304918
"JOBSI0C","99","1990",6106.54044291491
"JOBSI0C","101","1990",50877.3089572491
"JOBSI0C","103","1990",3131.48686894325
"JOBSI0C","105","1990",4312.62028815425
"JOBSI0C","107","1990",10677.947403587
"JOBSI0C","109","1990",2028.7350333619
"JOBSI0C","111","1990",503.690761822055
"JOBSI0C","113","1990",2955.41482205387
"JOBSI0C","115","1990",1136.11762523989
"JOBSI0C","117","1990",13271.4728494416
"JOBSI0C","119","1990",3440.69020343785
"JOBSI0C","121","1990",2389.21192189938
"JOBSI0C","123","1990",59888.0791154167
"JOBSI0C","125","1990",4368.60956438204
"JOBSI0C","500","1990",1124733.00476925
"JOBSI0C","3","1991",6293.78124261802
"JOBSI0C","7","1991",2472.685023468
"JOBSI0C","9","1991",1860.81582622121
"JOBSI0C","11","1991",1843.83812750114
"JOBSI0C","15","1991",5560.2865334327
"JOBSI0C","17","1991",1055.37661719822
"JOBSI0C","19","1991",2698.01267528057
"JOBSI0C","21","1991",2137.37260032394
"JOBSI0C","23","1991",1105.34908536958
"JOBSI0C","25","1991",1016.95059052517
"JOBSI0C","27","1991",665.264279127628
"JOBSI0C","29","1991",7195.06240754155
"JOBSI0C","33","1991",612.964629357085
"JOBSI0C","37","1991",18158.8111576176
"JOBSI0C","39","1991",2551.74218756047
"JOBSI0C","41","1991",213886.05440332
"JOBSI0C","43","1991",11086.5449325807
"JOBSI0C","45","1991",15646.200363306
"JOBSI0C","47","1991",993.449071817402
"JOBSI0C","49","1991",5644.89677143826
"JOBSI0C","51","1991",6219.58122788685
"JOBSI0C","53","1991",255.505746181068
"JOBSI0C","55","1991",1765.09256951552
"JOBSI0C","57","1991",705.666190126296
"JOBSI0C","61","1991",704.466341684686
"JOBSI0C","63","1991",3581.68141599146
"JOBSI0C","65","1991",2336.1514246005
"JOBSI0C","67","1991",18271.5778029841
"JOBSI0C","69","1991",96851.6488709341
"JOBSI0C","71","1991",4953.55689369922
"JOBSI0C","73","1991",2473.03395611639
"JOBSI0C","75","1991",8315.95532507677
"JOBSI0C","77","1991",45044.0174057998
"JOBSI0C","79","1991",358.076066577806
"JOBSI0C","81","1991",5321.23298961682
"JOBSI0C","83","1991",8320.89744840957
"JOBSI0C","85","1991",11515.6648800184
"JOBSI0C","87","1991",11069.8410873849
"JOBSI0C","89","1991",8377.60513473906
"JOBSI0C","91","1991",1215.75543198872
"JOBSI0C","93","1991",1705.72115050639
"JOBSI0C","95","1991",1689.57802016535
"JOBSI0C","97","1991",14720.2475494192
"JOBSI0C","99","1991",5942.8853600786
"JOBSI0C","101","1991",50672.0146265708
"JOBSI0C","103","1991",3251.1372227999
"JOBSI0C","105","1991",4337.09345843785
"JOBSI0C","107","1991",11074.4491595676
"JOBSI0C","109","1991",2103.38083702519
"JOBSI0C","111","1991",413.161948579803
"JOBSI0C","113","1991",3275.49203884646
"JOBSI0C","115","1991",1092.859667193
"JOBSI0C","117","1991",14164.3214563331
"JOBSI0C","119","1991",3972.50784677055
"JOBSI0C","121","1991",2255.04860879354
"JOBSI0C","123","1991",61585.6643778608
"JOBSI0C","125","1991",4280.39078699455
"JOBSI0C","500","1991",1148883.90335312
"JOBSI0C","3","1992",6416.67836419272
"JOBSI0C","7","1992",2553.5317230673
"JOBSI0C","9","1992",1893.43253869091
"JOBSI0C","11","1992",1847.48829080542
"JOBSI0C","15","1992",5693.13689628239
"JOBSI0C","17","1992",1056.94097874768
"JOBSI0C","19","1992",2809.89816988582
"JOBSI0C","21","1992",2108.04789600001
"JOBSI0C","23","1992",1140.33764505833
"JOBSI0C","25","1992",1029.41299369735
"JOBSI0C","27","1992",708.490525520029
"JOBSI0C","29","1992",7486.4921113952
"JOBSI0C","33","1992",586.045571479511
"JOBSI0C","37","1992",19167.5385628321
"JOBSI0C","39","1992",2637.64950304501
"JOBSI0C","41","1992",221352.096760465
"JOBSI0C","43","1992",11818.9118518487
"JOBSI0C","45","1992",15578.3576313402
"JOBSI0C","47","1992",3582.58265122534
"JOBSI0C","49","1992",5759.97986330549
"JOBSI0C","51","1992",6806.93373270665
"JOBSI0C","53","1992",257.503813129654
"JOBSI0C","55","1992",1838.58309709713
"JOBSI0C","57","1992",748.872362825315
"JOBSI0C","61","1992",713.764874407008
"JOBSI0C","63","1992",3602.14959189519
"JOBSI0C","65","1992",2263.08150789478
"JOBSI0C","67","1992",19152.4608916554
"JOBSI0C","69","1992",100369.687683695
"JOBSI0C","71","1992",4896.09770152015
"JOBSI0C","73","1992",2545.93198937011
"JOBSI0C","75","1992",8249.88781875565
"JOBSI0C","77","1992",45929.7878028538
"JOBSI0C","79","1992",386.662537615243
"JOBSI0C","81","1992",5390.80952813011
"JOBSI0C","83","1992",8825.65646170658
"JOBSI0C","85","1992",11916.1991671917
"JOBSI0C","87","1992",11362.5376163958
"JOBSI0C","89","1992",8214.67294773347
"JOBSI0C","91","1992",1218.3660056099
"JOBSI0C","93","1992",1837.67179717171
"JOBSI0C","95","1992",1688.64644715468
"JOBSI0C","97","1992",15077.9014139664
"JOBSI0C","99","1992",6029.75476517245
"JOBSI0C","101","1992",51164.1021598868
"JOBSI0C","103","1992",3446.91104221047
"JOBSI0C","105","1992",4279.42962661457
"JOBSI0C","107","1992",11390.8250149817
"JOBSI0C","109","1992",2052.71554606011
"JOBSI0C","111","1992",302.661835734005
"JOBSI0C","113","1992",3773.60139414009
"JOBSI0C","115","1992",1048.68409381738
"JOBSI0C","117","1992",14807.9814790002
"JOBSI0C","119","1992",5497.97733043776
"JOBSI0C","121","1992",2218.17380337673
"JOBSI0C","123","1992",62785.8955357094
"JOBSI0C","125","1992",4182.73698542085
"JOBSI0C","500","1992",1172811.55106811
"JOBSI0C","3","1993",6867.56095118626
"JOBSI0C","7","1993",2727.30445364852
"JOBSI0C","9","1993",1992.31573717311
"JOBSI0C","11","1993",1991.31316688607
"JOBSI0C","15","1993",5884.83771523258
"JOBSI0C","17","1993",1050.24675803693
"JOBSI0C","19","1993",2904.69312016885
"JOBSI0C","21","1993",2158.78167760271
"JOBSI0C","23","1993",1173.64806885597
"JOBSI0C","25","1993",1066.42940263044
"JOBSI0C","27","1993",812.709099560616
"JOBSI0C","29","1993",8003.35468757367
"JOBSI0C","33","1993",623.296370645157
"JOBSI0C","37","1993",20918.3709397789
"JOBSI0C","39","1993",2987.07534171186
"JOBSI0C","41","1993",231218.818149225
"JOBSI0C","43","1993",12624.0162703301
"JOBSI0C","45","1993",16875.8762577824
"JOBSI0C","47","1993",4074.66106664876
"JOBSI0C","49","1993",6127.87034645558
"JOBSI0C","51","1993",7479.69626154709
"JOBSI0C","53","1993",293.066655596695
"JOBSI0C","55","1993",1966.66311342834
"JOBSI0C","57","1993",800.131100060892
"JOBSI0C","61","1993",772.83466155893
"JOBSI0C","63","1993",3721.25571623013
"JOBSI0C","65","1993",2140.34182549116
"JOBSI0C","67","1993",20456.4968419634
"JOBSI0C","69","1993",107062.942946381
"JOBSI0C","71","1993",5107.60184741527
"JOBSI0C","73","1993",2551.62616515279
"JOBSI0C","75","1993",8581.95148105493
"JOBSI0C","77","1993",47613.8361073089
"JOBSI0C","79","1993",407.054516427199
"JOBSI0C","81","1993",5446.05892679635
"JOBSI0C","83","1993",9637.49491253743
"JOBSI0C","85","1993",12842.2968743882
"JOBSI0C","87","1993",11943.7688887932
"JOBSI0C","89","1993",8487.82149578466
"JOBSI0C","91","1993",1378.57122398285
"JOBSI0C","93","1993",2094.01954411505
"JOBSI0C","95","1993",1792.3463813632
"JOBSI0C","97","1993",16489.904160518
"JOBSI0C","99","1993",6164.5373133316
"JOBSI0C","101","1993",52218.1460672809
"JOBSI0C","103","1993",3416.1816038619
"JOBSI0C","105","1993",4310.59654765662
"JOBSI0C","107","1993",12170.7207875254
"JOBSI0C","109","1993",2102.35035136939
"JOBSI0C","111","1993",322.335620294055
"JOBSI0C","113","1993",4302.71153714133
"JOBSI0C","115","1993",1101.10252474866
"JOBSI0C","117","1993",16137.4486112782
"JOBSI0C","119","1993",6033.09571788925
"JOBSI0C","121","1993",2306.60791218956
"JOBSI0C","123","1993",66710.8598200892
"JOBSI0C","125","1993",4420.59726626058
"JOBSI0C","500","1993",1222631.63193706
"JOBSI0C","3","1994",7289.31436379121
"JOBSI0C","7","1994",3086.71160754686
"JOBSI0C","9","1994",2059.09413946769
"JOBSI0C","11","1994",2142.49817961447
"JOBSI0C","15","1994",6344.80300027107
"JOBSI0C","17","1994",1069.37167886536
"JOBSI0C","19","1994",2967.41455801627
"JOBSI0C","21","1994",2234.6188025481
"JOBSI0C","23","1994",1134.59832926606
"JOBSI0C","25","1994",1111.90934493654
"JOBSI0C","27","1994",901.757523486122
"JOBSI0C","29","1994",8900.4885367205
"JOBSI0C","33","1994",672.302782734323
"JOBSI0C","37","1994",23283.1635947291
"JOBSI0C","39","1994",3303.44714202751
"JOBSI0C","41","1994",246816.007448821
"JOBSI0C","43","1994",13692.9402898158
"JOBSI0C","45","1994",18523.6768158783
"JOBSI0C","47","1994",4709.34982773562
"JOBSI0C","49","1994",6510.8870389427
"JOBSI0C","51","1994",8266.70348019352
"JOBSI0C","53","1994",327.66042975432
"JOBSI0C","55","1994",2178.11015078381
"JOBSI0C","57","1994",746.139404459676
"JOBSI0C","61","1994",826.640907018423
"JOBSI0C","63","1994",3964.00493914314
"JOBSI0C","65","1994",2210.70566755899
"JOBSI0C","67","1994",22468.0578593342
"JOBSI0C","69","1994",113640.356492644
"JOBSI0C","71","1994",5624.88925150324
"JOBSI0C","73","1994",2650.25585776742
"JOBSI0C","75","1994",9229.87414475158
"JOBSI0C","77","1994",49904.6509121867
"JOBSI0C","79","1994",406.302154417712
"JOBSI0C","81","1994",5614.00663017827
"JOBSI0C","83","1994",10293.7825280222
"JOBSI0C","85","1994",13871.9460185391
"JOBSI0C","87","1994",12508.2837624519
"JOBSI0C","89","1994",8816.89230946388
"JOBSI0C","91","1994",1569.0678952817
"JOBSI0C","93","1994",2537.80620930613
"JOBSI0C","95","1994",1933.41206747972
"JOBSI0C","97","1994",17373.2955780104
"JOBSI0C","99","1994",6483.86091758571
"JOBSI0C","101","1994",55191.468371182
"JOBSI0C","103","1994",3513.44934869707
"JOBSI0C","105","1994",4525.56265355843
"JOBSI0C","107","1994",12991.934764809
"JOBSI0C","109","1994",2180.39652959881
"JOBSI0C","111","1994",333.86755301083
"JOBSI0C","113","1994",4800.65914238611
"JOBSI0C","115","1994",1151.40299999961
"JOBSI0C","117","1994",17600.7641629773
"JOBSI0C","119","1994",6920.90273678953
"JOBSI0C","121","1994",2379.07533717446
"JOBSI0C","123","1994",70070.0796554402
"JOBSI0C","125","1994",4653.88170019032
"JOBSI0C","500","1994",1277503.94635305
"JOBSI0C","3","1995",7709.07313004963
"JOBSI0C","7","1995",3432.33238713355
"JOBSI0C","9","1995",2074.33345683445
"JOBSI0C","11","1995",2160.17719826474
"JOBSI0C","15","1995",6755.09549340679
"JOBSI0C","17","1995",1115.61214972293
"JOBSI0C","19","1995",3127.41929445441
"JOBSI0C","21","1995",2301.30330588615
"JOBSI0C","23","1995",1090.2665714874
"JOBSI0C","25","1995",1108.06039804917
"JOBSI0C","27","1995",994.691273443743
"JOBSI0C","29","1995",8997.17950819778
"JOBSI0C","33","1995",634.747631481686
"JOBSI0C","37","1995",25142.770756203
"JOBSI0C","39","1995",3668.94963577063
"JOBSI0C","41","1995",258372.758052862
"JOBSI0C","43","1995",14097.5996071145
"JOBSI0C","45","1995",19537.8683470954
"JOBSI0C","47","1995",5284.31357837228
"JOBSI0C","49","1995",7009.20890098827
"JOBSI0C","51","1995",8634.50531193292
"JOBSI0C","53","1995",369.466459333278
"JOBSI0C","55","1995",2250.61602241875
"JOBSI0C","57","1995",673.446952228374
"JOBSI0C","61","1995",811.833445390277
"JOBSI0C","63","1995",3783.49936743612
"JOBSI0C","65","1995",2447.37109505237
"JOBSI0C","67","1995",23802.4289301014
"JOBSI0C","69","1995",120020.496642658
"JOBSI0C","71","1995",5936.6938325001
"JOBSI0C","73","1995",2649.74898055881
"JOBSI0C","75","1995",9709.66806395001
"JOBSI0C","77","1995",52399.9008621183
"JOBSI0C","79","1995",433.289022603355
"JOBSI0C","81","1995",5994.08876106376
"JOBSI0C","83","1995",10472.9687372466
"JOBSI0C","85","1995",14511.5787575136
"JOBSI0C","87","1995",12853.1257579798
"JOBSI0C","89","1995",9129.10246914134
"JOBSI0C","91","1995",1618.35733173805
"JOBSI0C","93","1995",2829.70218279725
"JOBSI0C","95","1995",1899.9014831716
"JOBSI0C","97","1995",17755.8525933963
"JOBSI0C","99","1995",6536.49198205637
"JOBSI0C","101","1995",57615.4911206011
"JOBSI0C","103","1995",3339.95673015985
"JOBSI0C","105","1995",4611.35799681506
