"variable","regionnumber","year","value"
"JOBSI0R","2","1999",228475.046852946
"JOBSI0R","3","1999",1554048.88022211
"JOBSI0R","4","1999",312254.869469704
"JOBSI0R","5","1999",13954.427436534
"JOBSI0R","6","1999",23637.8998356425
"JOBSI0R","7","1999",65923.3123808877
"JOBSI0R","8","1999",20654.9628746552
"JOBSI0R","9","1999",44421.1813981448
"JOBSI0R","10","1999",45296.5374058676
"JOBSI0R","11","1999",112129.918739063
"JOBSI0R","12","1999",83441.0630760558
"JOBSI0R","13","1999",28725.9220604765
"JOBSI0R","14","1999",9558.23352982008
"JOBSI0R","1","2000",36364.5347829575
"JOBSI0R","2","2000",246729.387797105
"JOBSI0R","3","2000",1643171.88363974
"JOBSI0R","4","2000",327950.410827707
"JOBSI0R","5","2000",14594.9750288503
"JOBSI0R","6","2000",23067.2772591747
"JOBSI0R","7","2000",66253.9337437496
"JOBSI0R","8","2000",21463.106998055
"JOBSI0R","9","2000",46062.4932098392
"JOBSI0R","10","2000",47997.9258534164
"JOBSI0R","11","2000",119458.005202138
"JOBSI0R","12","2000",88257.2500712259
"JOBSI0R","13","2000",30121.0259395004
"JOBSI0R","14","2000",10066.3547038416
"JOBSI0R","1","2001",36589.7105674545
"JOBSI0R","2","2001",245117.87174476
"JOBSI0R","3","2001",1628489.04098056
"JOBSI0R","4","2001",325131.046807257
"JOBSI0R","5","2001",14709.9953899579
"JOBSI0R","6","2001",23114.896958464
"JOBSI0R","7","2001",65980.0829901672
"JOBSI0R","8","2001",21636.3579923333
"JOBSI0R","9","2001",46181.6581075918
"JOBSI0R","10","2001",48054.3692440684
"JOBSI0R","11","2001",119436.279424507
"JOBSI0R","12","2001",87733.793031018
"JOBSI0R","13","2001",30105.0506888106
"JOBSI0R","14","2001",10147.705255988
"JOBSI0R","1","2002",36347
"JOBSI0R","2","2002",246934.643051771
"JOBSI0R","3","2002",1600496.48608775
"JOBSI0R","4","2002",322790.68
"JOBSI0R","5","2002",15064.8148148148
"JOBSI0R","6","2002",22657
"JOBSI0R","7","2002",65777.4931506849
"JOBSI0R","8","2002",21858
"JOBSI0R","9","2002",46964.2923076923
"JOBSI0R","10","2002",48244.3333333333
"JOBSI0R","11","2002",119432.538275194
"JOBSI0R","12","2002",86041.6321510297
"JOBSI0R","13","2002",29980
"JOBSI0R","14","2002",10472
"JOBSI0R","1","2003",36833.181359953
"JOBSI0R","2","2003",249128.973207865
"JOBSI0R","3","2003",1583554.78169401
"JOBSI0R","4","2003",323106.573373597
"JOBSI0R","5","2003",15274.9501140882
"JOBSI0R","6","2003",22529.0729394505
"JOBSI0R","7","2003",65900.9881099329
"JOBSI0R","8","2003",22541.9665413254
"JOBSI0R","9","2003",47703.9342498571
"JOBSI0R","10","2003",49120.1396745302
"JOBSI0R","11","2003",121302.701257846
"JOBSI0R","12","2003",85143.3145643264
"JOBSI0R","13","2003",29948.8406927208
"JOBSI0R","14","2003",10340.0167240907
"JOBSI0R","1","2004",36101.8806866038
"JOBSI0R","2","2004",255314.714389547
"JOBSI0R","3","2004",1604074.45818817
"JOBSI0R","4","2004",328470.521658114
"JOBSI0R","5","2004",15122.8606176273
"JOBSI0R","6","2004",22200.099131109
"JOBSI0R","7","2004",65604.5321692794
"JOBSI0R","8","2004",22358.8215207944
"JOBSI0R","9","2004",49094.438850576
"JOBSI0R","10","2004",50699.4593918907
"JOBSI0R","11","2004",124830.33458435
"JOBSI0R","12","2004",86683.432029083
"JOBSI0R","13","2004",30332.0955907713
"JOBSI0R","14","2004",10372.2626710339
"JOBSI0R","1","2005",36565.6771128635
"JOBSI0R","2","2005",262170.667879994
"JOBSI0R","3","2005",1639014.81513006
"JOBSI0R","4","2005",338555.960739871
"JOBSI0R","5","2005",15522.8570572794
"JOBSI0R","6","2005",21979.986502371
"JOBSI0R","7","2005",66424.3622147851
"JOBSI0R","8","2005",22404.387633337
"JOBSI0R","9","2005",50845.82762165
"JOBSI0R","10","2005",52732.1759490618
"JOBSI0R","11","2005",130517.528878238
"JOBSI0R","12","2005",89783.4086680734
"JOBSI0R","13","2005",30757.7281141745
"JOBSI0R","14","2005",10509.595787517
"JOBSI0R","1","2006",36463.1745178108
"JOBSI0R","2","2006",269885.703519102
"JOBSI0R","3","2006",1668581.72075189
"JOBSI0R","4","2006",343317.291608091
"JOBSI0R","5","2006",15544.3652488634
"JOBSI0R","6","2006",21385.6477317174
"JOBSI0R","7","2006",67871.0893452343
"JOBSI0R","8","2006",22463.4989179067
"JOBSI0R","9","2006",52787.2041657376
"JOBSI0R","10","2006",54759.237475065
"JOBSI0R","11","2006",137204.846973347
"JOBSI0R","12","2006",93393.6114229262
"JOBSI0R","13","2006",31259.7058429672
"JOBSI0R","14","2006",10862.8830724266
"JOBSI0R","1","2007",36544.0407044763
"JOBSI0R","2","2007",276417.098707765
"JOBSI0R","3","2007",1707545.17243727
"JOBSI0R","4","2007",345798.060744371
"JOBSI0R","5","2007",15362.4369214062
"JOBSI0R","6","2007",21259.5818074114
"JOBSI0R","7","2007",69867.3625740229
"JOBSI0R","8","2007",22451.3230900062
"JOBSI0R","9","2007",54167.4237304811
"JOBSI0R","10","2007",56593.4807943596
"JOBSI0R","11","2007",145823.303699801
"JOBSI0R","12","2007",96352.5109741267
"JOBSI0R","13","2007",31715.8790310485
"JOBSI0R","14","2007",11050.0622923607
"JOBSI0R","1","2008",36813
"JOBSI0R","2","2008",279538.4
"JOBSI0R","3","2008",1728451.6
"JOBSI0R","4","2008",348031.8
"JOBSI0R","5","2008",15458.6
"JOBSI0R","6","2008",21364.6
"JOBSI0R","7","2008",70404.4
"JOBSI0R","8","2008",22643.2
"JOBSI0R","9","2008",54119.6
"JOBSI0R","10","2008",56432.2
"JOBSI0R","11","2008",150470.2
"JOBSI0R","12","2008",97317.6
"JOBSI0R","13","2008",32001
"JOBSI0R","14","2008",11291.6
"JOBSI0R","1","2009",36388
"JOBSI0R","2","2009",270066.8
"JOBSI0R","3","2009",1660517.2
"JOBSI0R","4","2009",338971.6
"JOBSI0R","5","2009",14924.2
"JOBSI0R","6","2009",20988.2
"JOBSI0R","7","2009",68473.8
"JOBSI0R","8","2009",22315.4
"JOBSI0R","9","2009",51531.2
"JOBSI0R","10","2009",53212.4
"JOBSI0R","11","2009",140009.4
"JOBSI0R","12","2009",90025.2
"JOBSI0R","13","2009",30670
"JOBSI0R","14","2009",10417.2
"JOBSI0R","1","2010",35878
"JOBSI0R","2","2010",269725.2
"JOBSI0R","3","2010",1651379.8
"JOBSI0R","4","2010",339856.4
"JOBSI0R","5","2010",14759.8
"JOBSI0R","6","2010",20683.8
"JOBSI0R","7","2010",68415.2
"JOBSI0R","8","2010",22195.6
"JOBSI0R","9","2010",50127.8
"JOBSI0R","10","2010",51202.6
"JOBSI0R","11","2010",132731.6
"JOBSI0R","12","2010",86740.8
"JOBSI0R","13","2010",30102
"JOBSI0R","14","2010",9842.8
"JOBSI0R","1","2011",36811
"JOBSI0R","2","2011",276451.6
"JOBSI0R","3","2011",1683280.4
"JOBSI0R","4","2011",343792.2
"JOBSI0R","5","2011",14875.4
"JOBSI0R","6","2011",20911.4
"JOBSI0R","7","2011",69403.6
"JOBSI0R","8","2011",22143.8
"JOBSI0R","9","2011",50222.4
"JOBSI0R","10","2011",50864.8
"JOBSI0R","11","2011",133631.8
"JOBSI0R","12","2011",87419.4
"JOBSI0R","13","2011",30410
"JOBSI0R","14","2011",9851.4
"JOBSI0R","1","2012",36850
"JOBSI0R","2","2012",285234
"JOBSI0R","3","2012",1733779
"JOBSI0R","4","2012",346551
"JOBSI0R","5","2012",14819
"JOBSI0R","6","2012",20077
"JOBSI0R","7","2012",69252
"JOBSI0R","8","2012",22082
"JOBSI0R","9","2012",50585
"JOBSI0R","10","2012",50786
"JOBSI0R","11","2012",135103
"JOBSI0R","12","2012",88705
"JOBSI0R","13","2012",30398
"JOBSI0R","14","2012",9702
"JOBSI0R","1","2013",37128.6038282306
"JOBSI0R","2","2013",295720.370333588
"JOBSI0R","3","2013",1788878.32773553
"JOBSI0R","4","2013",352915.860425115
"JOBSI0R","5","2013",15308.2771938861
"JOBSI0R","6","2013",20038.9781693264
"JOBSI0R","7","2013",69193.8598240469
"JOBSI0R","8","2013",21978.2221420292
"JOBSI0R","9","2013",51882.218855988
"JOBSI0R","10","2013",51123.5496172973
"JOBSI0R","11","2013",136565.361444989
"JOBSI0R","12","2013",90686.3870149774
"JOBSI0R","13","2013",30387.1968936831
"JOBSI0R","14","2013",9522.57065337763
"JOBSI0R","1","2014",38332.51
"JOBSI0R","2","2014",311276.8
"JOBSI0R","3","2014",1851607
"JOBSI0R","4","2014",362553.9
"JOBSI0R","5","2014",15638.41
"JOBSI0R","6","2014",19811.86
"JOBSI0R","7","2014",70178.59
"JOBSI0R","8","2014",22246.35
"JOBSI0R","9","2014",52701.16
"JOBSI0R","10","2014",51725.94
"JOBSI0R","11","2014",138612.3
"JOBSI0R","12","2014",93905.78
"JOBSI0R","13","2014",30669.55
"JOBSI0R","14","2014",9358.631
"JOBSI0R","1","2015",38846.72
"JOBSI0R","2","2015",321043.5
"JOBSI0R","3","2015",1903064
"JOBSI0R","4","2015",370330.1
"JOBSI0R","5","2015",16247.3
"JOBSI0R","6","2015",20023
"JOBSI0R","7","2015",71414.99
"JOBSI0R","8","2015",22735.98
"JOBSI0R","9","2015",54282.07
"JOBSI0R","10","2015",52979.92
"JOBSI0R","11","2015",140698.6
"JOBSI0R","12","2015",96896.44
"JOBSI0R","13","2015",31708.33
"JOBSI0R","14","2015",9486.7
"JOBSI0R","1","2016",39325.91
"JOBSI0R","2","2016",331437
"JOBSI0R","3","2016",1956544
"JOBSI0R","4","2016",379738.6
"JOBSI0R","5","2016",16968.47
"JOBSI0R","6","2016",20285.06
"JOBSI0R","7","2016",72813.8
"JOBSI0R","8","2016",23251.87
"JOBSI0R","9","2016",56028.18
"JOBSI0R","10","2016",54544.78
"JOBSI0R","11","2016",144739.5
"JOBSI0R","12","2016",100245.1
"JOBSI0R","13","2016",32852.23
"JOBSI0R","14","2016",9641.253
"JOBSI0R","1","2017",39588.62
"JOBSI0R","2","2017",340053.8
"JOBSI0R","3","2017",2004372
"JOBSI0R","4","2017",388368.7
"JOBSI0R","5","2017",17622.36
"JOBSI0R","6","2017",20470.75
"JOBSI0R","7","2017",73956.46
"JOBSI0R","8","2017",23678.79
"JOBSI0R","9","2017",57739.37
"JOBSI0R","10","2017",56098.42
"JOBSI0R","11","2017",149073.8
"JOBSI0R","12","2017",103270.1
"JOBSI0R","13","2017",33824.92
"JOBSI0R","14","2017",9808.042
"JOBSI0R","1","2018",39897.18
"JOBSI0R","2","2018",348764.1
"JOBSI0R","3","2018",2051138
"JOBSI0R","4","2018",397283.3
"JOBSI0R","5","2018",18338.48
"JOBSI0R","6","2018",20662.61
"JOBSI0R","7","2018",75102.85
"JOBSI0R","8","2018",24095.17
"JOBSI0R","9","2018",59418.95
"JOBSI0R","10","2018",57698.32
"JOBSI0R","11","2018",153529.1
"JOBSI0R","12","2018",106041.2
"JOBSI0R","13","2018",34789.01
"JOBSI0R","14","2018",9952.88
"JOBSI0R","1","2019",40166.7
"JOBSI0R","2","2019",356589.6
"JOBSI0R","3","2019",2092118
"JOBSI0R","4","2019",405806.4
"JOBSI0R","5","2019",19008.61
"JOBSI0R","6","2019",20812.03
"JOBSI0R","7","2019",76178.27
"JOBSI0R","8","2019",24466.25
"JOBSI0R","9","2019",60954.51
"JOBSI0R","10","2019",59148.14
"JOBSI0R","11","2019",157539.6
"JOBSI0R","12","2019",108439.5
"JOBSI0R","13","2019",35629.33
"JOBSI0R","14","2019",10082.66
"JOBSI0R","1","2020",40418.42
"JOBSI0R","2","2020",364413.7
"JOBSI0R","3","2020",2125760
"JOBSI0R","4","2020",413668.8
"JOBSI0R","5","2020",19595.17
"JOBSI0R","6","2020",20923.97
"JOBSI0R","7","2020",77172.42
"JOBSI0R","8","2020",24783.02
"JOBSI0R","9","2020",62287.55
"JOBSI0R","10","2020",60420.47
"JOBSI0R","11","2020",161066.3
"JOBSI0R","12","2020",110464.9
"JOBSI0R","13","2020",36365.01
"JOBSI0R","14","2020",10178.37
"JOBSI0R","1","2021",40691.25
"JOBSI0R","2","2021",372205.4
"JOBSI0R","3","2021",2155947
"JOBSI0R","4","2021",421311.6
"JOBSI0R","5","2021",20147.83
"JOBSI0R","6","2021",21037.59
"JOBSI0R","7","2021",78239.01
"JOBSI0R","8","2021",25069.47
"JOBSI0R","9","2021",63516.67
"JOBSI0R","10","2021",61608
"JOBSI0R","11","2021",164429.3
"JOBSI0R","12","2021",112344.9
"JOBSI0R","13","2021",37045.65
"JOBSI0R","14","2021",10255.63
"JOBSI0R","1","2022",41009.8
"JOBSI0R","2","2022",380626.7
"JOBSI0R","3","2022",2186600
"JOBSI0R","4","2022",429291.8
"JOBSI0R","5","2022",20715.5
"JOBSI0R","6","2022",21178.17
"JOBSI0R","7","2022",79421.46
"JOBSI0R","8","2022",25362.25
"JOBSI0R","9","2022",64779.51
"JOBSI0R","10","2022",62865.76
"JOBSI0R","11","2022",167861.7
"JOBSI0R","12","2022",114320.2
"JOBSI0R","13","2022",37717.66
"JOBSI0R","14","2022",10338.07
"JOBSI0R","1","2023",41379.33
"JOBSI0R","2","2023",389441.7
"JOBSI0R","3","2023",2219263
"JOBSI0R","4","2023",437575.4
"JOBSI0R","5","2023",21309.99
"JOBSI0R","6","2023",21319.72
"JOBSI0R","7","2023",80678.03
"JOBSI0R","8","2023",25683.87
"JOBSI0R","9","2023",66115.08
"JOBSI0R","10","2023",64193.9
"JOBSI0R","11","2023",171522.8
"JOBSI0R","12","2023",116373.6
"JOBSI0R","13","2023",38369.81
"JOBSI0R","14","2023",10433.59
"JOBSI0R","1","2024",41711.26
"JOBSI0R","2","2024",398269
"JOBSI0R","3","2024",2253156
"JOBSI0R","4","2024",446019.6
"JOBSI0R","5","2024",21907.86
"JOBSI0R","6","2024",21465.97
"JOBSI0R","7","2024",81936.99
"JOBSI0R","8","2024",25999.35
"JOBSI0R","9","2024",67453.28
"JOBSI0R","10","2024",65542.43
"JOBSI0R","11","2024",175170.6
"JOBSI0R","12","2024",118384.5
"JOBSI0R","13","2024",38980.04
"JOBSI0R","14","2024",10536.23
"JOBSI0R","1","2025",42048.82
"JOBSI0R","2","2025",406850.5
"JOBSI0R","3","2025",2286872
"JOBSI0R","4","2025",454492.7
"JOBSI0R","5","2025",22487.89
"JOBSI0R","6","2025",21612.31
"JOBSI0R","7","2025",83138.47
"JOBSI0R","8","2025",26286.16
"JOBSI0R","9","2025",68753.26
"JOBSI0R","10","2025",66849.04
"JOBSI0R","11","2025",178695.5
"JOBSI0R","12","2025",120252.4
"JOBSI0R","13","2025",39591.4
"JOBSI0R","14","2025",10617.22
"JOBSI0R","1","2026",42391.19
"JOBSI0R","2","2026",415380.3
"JOBSI0R","3","2026",2320490
"JOBSI0R","4","2026",462974.3
"JOBSI0R","5","2026",23060.27
"JOBSI0R","6","2026",21746.03
"JOBSI0R","7","2026",84344.35
"JOBSI0R","8","2026",26550.42
"JOBSI0R","9","2026",70020.56
