"variable","countyfips","year","value"
"JOBSI0C","99","1992",6108.080776
"JOBSI0C","101","1992",51219.83284
"JOBSI0C","103","1992",3473.719638
"JOBSI0C","105","1992",4341.24778
"JOBSI0C","107","1992",11421.52125
"JOBSI0C","109","1992",2139.812199
"JOBSI0C","111","1992",302.5918084
"JOBSI0C","113","1992",3780.219636
"JOBSI0C","115","1992",1090.386195
"JOBSI0C","117","1992",14811.51605
"JOBSI0C","119","1992",5500.367438
"JOBSI0C","121","1992",2287.87697
"JOBSI0C","123","1992",63392.18475
"JOBSI0C","125","1992",4376.015891
"JOBSI0C","500","1992",1173488.154
"JOBSI0C","3","1993",6962.837982
"JOBSI0C","7","1993",2741.815245
"JOBSI0C","9","1993",2044.068504
"JOBSI0C","11","1993",2074.316255
"JOBSI0C","15","1993",5899.376644
"JOBSI0C","17","1993",1059.628955
"JOBSI0C","19","1993",2905.232225
"JOBSI0C","21","1993",2194.260232
"JOBSI0C","23","1993",1210.981127
"JOBSI0C","25","1993",1076.837599
"JOBSI0C","27","1993",816.1092509
"JOBSI0C","29","1993",8074.462643
"JOBSI0C","33","1993",628.9316329
"JOBSI0C","37","1993",20935.68117
"JOBSI0C","39","1993",3014.93686
"JOBSI0C","41","1993",231431.5295
"JOBSI0C","43","1993",12636.03917
"JOBSI0C","45","1993",16915.73776
"JOBSI0C","47","1993",4075.249784
"JOBSI0C","49","1993",6147.110353
"JOBSI0C","51","1993",7506.259454
"JOBSI0C","53","1993",295.0957381
"JOBSI0C","55","1993",1974.001081
"JOBSI0C","57","1993",830.9777711
"JOBSI0C","61","1993",819.495291
"JOBSI0C","63","1993",3812.244878
"JOBSI0C","65","1993",2141.576997
"JOBSI0C","67","1993",20498.29685
"JOBSI0C","69","1993",107206.0996
"JOBSI0C","71","1993",5122.036789
"JOBSI0C","73","1993",2578.262463
"JOBSI0C","75","1993",8667.247798
"JOBSI0C","77","1993",47709.0431
"JOBSI0C","79","1993",407.677304
"JOBSI0C","81","1993",5470.622176
"JOBSI0C","83","1993",9674.928207
"JOBSI0C","85","1993",12918.1096
"JOBSI0C","87","1993",12119.448
"JOBSI0C","89","1993",8536.763473
"JOBSI0C","91","1993",1387.263813
"JOBSI0C","93","1993",2100.928085
"JOBSI0C","95","1993",1839.11989
"JOBSI0C","97","1993",16500.91673
"JOBSI0C","99","1993",6244.966869
"JOBSI0C","101","1993",52274.74066
"JOBSI0C","103","1993",3442.591311
"JOBSI0C","105","1993",4373.190971
"JOBSI0C","107","1993",12203.73904
"JOBSI0C","109","1993",2190.976522
"JOBSI0C","111","1993",322.2568967
"JOBSI0C","113","1993",4310.41483
"JOBSI0C","115","1993",1144.206182
"JOBSI0C","117","1993",16141.22169
"JOBSI0C","119","1993",6035.697224
"JOBSI0C","121","1993",2377.291403
"JOBSI0C","123","1993",67355.11787
"JOBSI0C","125","1993",4623.365973
"JOBSI0C","500","1993",1223331.526
"JOBSI0C","3","1994",7390.260311
"JOBSI0C","7","1994",3102.732437
"JOBSI0C","9","1994",2111.289941
"JOBSI0C","11","1994",2230.894186
"JOBSI0C","15","1994",6360.380302
"JOBSI0C","17","1994",1078.987886
"JOBSI0C","19","1994",2967.945915
"JOBSI0C","21","1994",2271.317808
"JOBSI0C","23","1994",1169.614214
"JOBSI0C","25","1994",1122.686265
"JOBSI0C","27","1994",905.3894959
"JOBSI0C","29","1994",8978.382416
"JOBSI0C","33","1994",678.1571039
"JOBSI0C","37","1994",23302.48762
"JOBSI0C","39","1994",3333.676277
"JOBSI0C","41","1994",247041.8968
"JOBSI0C","43","1994",13705.87267
"JOBSI0C","45","1994",18567.50363
