"variable","countyfips","year","value"
"ADJPOPC","11","1998",5993
"ADJPOPC","15","1998",15526
"ADJPOPC","17","1998",2343
"ADJPOPC","19","1998",8998
"ADJPOPC","21","1998",8187
"ADJPOPC","23","1998",3700
"ADJPOPC","25","1998",4286
"ADJPOPC","27","1998",3175
"ADJPOPC","29","1998",26821
"ADJPOPC","33","1998",1766
"ADJPOPC","37","1998",37614
"ADJPOPC","39","1998",18032
"ADJPOPC","41","1998",498021
"ADJPOPC","43","1998",43813
"ADJPOPC","45","1998",41231
"ADJPOPC","47","1998",4246
"ADJPOPC","49","1998",11409
"ADJPOPC","51","1998",13442
"ADJPOPC","53","1998",776
"ADJPOPC","55","1998",7781
"ADJPOPC","57","1998",1587
"ADJPOPC","61","1998",1644
"ADJPOPC","63","1998",7754
"ADJPOPC","65","1998",7835
"ADJPOPC","67","1998",41173
"ADJPOPC","69","1998",239080
"ADJPOPC","71","1998",15054
"ADJPOPC","73","1998",6107
"ADJPOPC","75","1998",20003
"ADJPOPC","77","1998",112327
"ADJPOPC","79","1998",772
"ADJPOPC","81","1998",12812
"ADJPOPC","83","1998",23117
"ADJPOPC","85","1998",31837
"ADJPOPC","87","1998",26662
"ADJPOPC","89","1998",20516
"ADJPOPC","91","1998",3453
"ADJPOPC","93","1998",13065
"ADJPOPC","95","1998",4570
"ADJPOPC","97","1998",14781
"ADJPOPC","99","1998",14224
"ADJPOPC","101","1998",137381
"ADJPOPC","103","1998",6232
"ADJPOPC","105","1998",12123
"ADJPOPC","107","1998",18606
"ADJPOPC","109","1998",5558
"ADJPOPC","111","1998",555
"ADJPOPC","113","1998",6453
"ADJPOPC","115","1998",2681
"ADJPOPC","117","1998",21281
"ADJPOPC","119","1998",19672
"ADJPOPC","121","1998",5155
"ADJPOPC","123","1998",172394
"ADJPOPC","125","1998",9799
"ADJPOPC","500","1998",2280781
"ADJPOPC","3","1999",14822
"ADJPOPC","7","1999",9570
"ADJPOPC","9","1999",4523
"ADJPOPC","11","1999",5996
"ADJPOPC","15","1999",15936
"ADJPOPC","17","1999",2279
"ADJPOPC","19","1999",9183
"ADJPOPC","21","1999",8308
"ADJPOPC","23","1999",3679
"ADJPOPC","25","1999",4998
"ADJPOPC","27","1999",3364
"ADJPOPC","29","1999",27400
"ADJPOPC","33","1999",1811
"ADJPOPC","37","1999",39909
"ADJPOPC","39","1999",19087
"ADJPOPC","41","1999",508815
"ADJPOPC","43","1999",45144
"ADJPOPC","45","1999",42691
"ADJPOPC","47","1999",4538
"ADJPOPC","49","1999",11995
"ADJPOPC","51","1999",13736
"ADJPOPC","53","1999",784
"ADJPOPC","55","1999",7827
"ADJPOPC","57","1999",1582
"ADJPOPC","61","1999",1632
"ADJPOPC","63","1999",7901
"ADJPOPC","65","1999",7822
"ADJPOPC","67","1999",42757
"ADJPOPC","69","1999",246156
"ADJPOPC","71","1999",15142
"ADJPOPC","73","1999",6096
"ADJPOPC","75","1999",20289
"ADJPOPC","77","1999",114573
"ADJPOPC","79","1999",806
"ADJPOPC","81","1999",13025
"ADJPOPC","83","1999",23524
"ADJPOPC","85","1999",32748
"ADJPOPC","87","1999",26953
"ADJPOPC","89","1999",20399
"ADJPOPC","91","1999",3618
"ADJPOPC","93","1999",13900
"ADJPOPC","95","1999",4518
"ADJPOPC","97","1999",14833
"ADJPOPC","99","1999",14372
"ADJPOPC","101","1999",139718
"ADJPOPC","103","1999",6091
"ADJPOPC","105","1999",12289
"ADJPOPC","107","1999",19224
"ADJPOPC","109","1999",5765
"ADJPOPC","111","1999",557
"ADJPOPC","113","1999",6533
"ADJPOPC","115","1999",2719
"ADJPOPC","117","1999",22568
"ADJPOPC","119","1999",20179
"ADJPOPC","121","1999",5024
"ADJPOPC","123","1999",177265
"ADJPOPC","125","1999",9823
"ADJPOPC","500","1999",2349188
"ADJPOPC","3","2000",15099
"ADJPOPC","7","2000",10043
"ADJPOPC","9","2000",4499
"ADJPOPC","11","2000",5967
"ADJPOPC","15","2000",16312
"ADJPOPC","17","2000",2216
"ADJPOPC","19","2000",9361
"ADJPOPC","21","2000",8408
"ADJPOPC","23","2000",3674
"ADJPOPC","25","2000",5130
"ADJPOPC","27","2000",3520
"ADJPOPC","29","2000",27909
"ADJPOPC","33","2000",1849
"ADJPOPC","37","2000",43289
"ADJPOPC","39","2000",20104
"ADJPOPC","41","2000",519802
"ADJPOPC","43","2000",46370
"ADJPOPC","45","2000",44240
"ADJPOPC","47","2000",4809
"ADJPOPC","49","2000",12853
"ADJPOPC","51","2000",13989
"ADJPOPC","53","2000",792
"ADJPOPC","55","2000",7827
"ADJPOPC","57","2000",1576
"ADJPOPC","61","2000",1614
"ADJPOPC","63","2000",7975
"ADJPOPC","65","2000",7940
"ADJPOPC","67","2000",44578
"ADJPOPC","69","2000",253088
"ADJPOPC","71","2000",15286
"ADJPOPC","73","2000",6163
"ADJPOPC","75","2000",20655
"ADJPOPC","77","2000",117651
"ADJPOPC","79","2000",837
"ADJPOPC","81","2000",13182
"ADJPOPC","83","2000",23852
"ADJPOPC","85","2000",33577
"ADJPOPC","87","2000",27251
"ADJPOPC","89","2000",20244
"ADJPOPC","91","2000",3776
"ADJPOPC","93","2000",14729
"ADJPOPC","95","2000",4451
"ADJPOPC","97","2000",15764
"ADJPOPC","99","2000",14453
"ADJPOPC","101","2000",141854
"ADJPOPC","103","2000",5969
"ADJPOPC","105","2000",12429
"ADJPOPC","107","2000",20123
"ADJPOPC","109","2000",5983
"ADJPOPC","111","2000",574
"ADJPOPC","113","2000",6615
"ADJPOPC","115","2000",2744
"ADJPOPC","117","2000",25709
"ADJPOPC","119","2000",21068
"ADJPOPC","121","2000",4942
"ADJPOPC","123","2000",183076
"ADJPOPC","125","2000",9815
"ADJPOPC","500","2000",2421226
"ADJPOPC","3","2001",15231
"ADJPOPC","7","2001",10465
"ADJPOPC","9","2001",4447
"ADJPOPC","11","2001",5882
"ADJPOPC","15","2001",16410
"ADJPOPC","17","2001",2173
"ADJPOPC","19","2001",9464
"ADJPOPC","21","2001",8365
"ADJPOPC","23","2001",3741
"ADJPOPC","25","2001",5253
"ADJPOPC","27","2001",3730
"ADJPOPC","29","2001",28387
"ADJPOPC","33","2001",1865
"ADJPOPC","37","2001",44440
"ADJPOPC","39","2001",21294
"ADJPOPC","41","2001",536336
"ADJPOPC","43","2001",46733
"ADJPOPC","45","2001",45907
"ADJPOPC","47","2001",4829
"ADJPOPC","49","2001",13283
"ADJPOPC","51","2001",14345
"ADJPOPC","53","2001",804
"ADJPOPC","55","2001",7905
"ADJPOPC","57","2001",1590
"ADJPOPC","61","2001",1606
"ADJPOPC","63","2001",8073
"ADJPOPC","65","2001",7821
"ADJPOPC","67","2001",45645
"ADJPOPC","69","2001",260911
"ADJPOPC","71","2001",15310
"ADJPOPC","73","2001",6076
"ADJPOPC","75","2001",22354
"ADJPOPC","77","2001",119864
"ADJPOPC","79","2001",820
"ADJPOPC","81","2001",13089
"ADJPOPC","83","2001",23873
"ADJPOPC","85","2001",34442
"ADJPOPC","87","2001",27475
"ADJPOPC","89","2001",19900
"ADJPOPC","91","2001",3809
"ADJPOPC","93","2001",15172
"ADJPOPC","95","2001",4487
"ADJPOPC","97","2001",16184
"ADJPOPC","99","2001",14109
"ADJPOPC","101","2001",143996
