"variable","regionnumber","year","value"
"JOBSI0R","1","1990",28955.1968286927
"JOBSI0R","2","1990",152544.520904843
"JOBSI0R","3","1990",1128042.18011979
"JOBSI0R","4","1990",214346.47877104
"JOBSI0R","5","1990",9572.69847141062
"JOBSI0R","6","1990",19938.5159069117
"JOBSI0R","7","1990",50877.3089572491
"JOBSI0R","8","1990",16177.3270383613
"JOBSI0R","9","1990",28897.9064590483
"JOBSI0R","10","1990",28950.4167837992
"JOBSI0R","11","1990",78593.3899207243
"JOBSI0R","12","1990",52543.7845060592
"JOBSI0R","13","1990",19215.6154244538
"JOBSI0R","14","1990",6737.57785234549
"JOBSI0R","1","1991",28703.6734956082
"JOBSI0R","2","1991",158437.313248795
"JOBSI0R","3","1991",1152575.36510022
"JOBSI0R","4","1991",219564.283400597
"JOBSI0R","5","1991",9661.83417686654
"JOBSI0R","6","1991",19746.5613807499
"JOBSI0R","7","1991",50672.0146265708
"JOBSI0R","8","1991",16335.0532903524
"JOBSI0R","9","1991",30091.2868527986
"JOBSI0R","10","1991",29677.0617324631
"JOBSI0R","11","1991",80337.0371410901
"JOBSI0R","12","1991",53393.9431249344
"JOBSI0R","13","1991",19648.2471697415
"JOBSI0R","14","1991",6718.64946321475
"JOBSI0R","1","1992",28750.6667649211
"JOBSI0R","2","1992",163155.583219405
"JOBSI0R","3","1992",1179204.03188922
"JOBSI0R","4","1992",228687.745888075
"JOBSI0R","5","1992",9842.67206305799
"JOBSI0R","6","1992",19728.5264105066
"JOBSI0R","7","1992",51164.1021598868
"JOBSI0R","8","1992",16383.871615541
"JOBSI0R","9","1992",31420.3564836428
"JOBSI0R","10","1992",31459.0962241732
"JOBSI0R","11","1992",81736.6910195162
"JOBSI0R","12","1992",55562.2736819296
"JOBSI0R","13","1992",20483.6207815459
"JOBSI0R","14","1992",6734.68079861728
"JOBSI0R","1","1993",30146.3744544101
"JOBSI0R","2","1993",173773.80276647
"JOBSI0R","3","1993",1229610.98612388
"JOBSI0R","4","1993",239345.933411229
"JOBSI0R","5","1993",10310.2039811317
"JOBSI0R","6","1993",20475.2517773648
"JOBSI0R","7","1993",52218.1460672809
"JOBSI0R","8","1993",17019.9921130981
"JOBSI0R","9","1993",33766.9281990885
"JOBSI0R","10","1993",34299.6972402299
"JOBSI0R","11","1993",85522.6736832748
"JOBSI0R","12","1993",60473.7251580915
"JOBSI0R","13","1993",21461.9049106145
"JOBSI0R","14","1993",7074.26496084361
"JOBSI0R","1","1994",31855.9300120476
"JOBSI0R","2","1994",183710.436148085
"JOBSI0R","3","1994",1285180.7107388
"JOBSI0R","4","1994",256274.716394917
"JOBSI0R","5","1994",10987.0796178034
"JOBSI0R","6","1994",21440.8957980867
"JOBSI0R","7","1994",55191.468371182
"JOBSI0R","8","1994",17770.7928331803
"JOBSI0R","9","1994",36854.7223306484
"JOBSI0R","10","1994",37736.5255028752
"JOBSI0R","11","1994",90547.7184717494
"JOBSI0R","12","1994",65514.2497791191
"JOBSI0R","13","1994",23150.206481132
"JOBSI0R","14","1994",7802.99940228705
"JOBSI0R","1","1995",32665.2782863836
"JOBSI0R","2","1995",192730.55485358
"JOBSI0R","3","1995",1335638.27859175
"JOBSI0R","4","1995",268992.738754361
"JOBSI0R","5","1995",11217.8101334885
"JOBSI0R","6","1995",21819.9989497363
"JOBSI0R","7","1995",57615.4911206011
"JOBSI0R","8","1995",18332.2411353829
"JOBSI0R","9","1995",38648.3794421927
"JOBSI0R","10","1995",39325.4042847713
"JOBSI0R","11","1995",94755.0587232607
"JOBSI0R","12","1995",69272.9524539679
"JOBSI0R","13","1995",24294.7574690174
"JOBSI0R","14","1995",8187.30985491885
"JOBSI0R","1","1996",33539.1481000414
"JOBSI0R","2","1996",203414.966922672
"JOBSI0R","3","1996",1381407.572741
"JOBSI0R","4","1996",280817.3180262
"JOBSI0R","5","1996",11794.5022282102
"JOBSI0R","6","1996",22449.5636224763
"JOBSI0R","7","1996",59986.5295583992
"JOBSI0R","8","1996",19202.4207398479
"JOBSI0R","9","1996",40549.878884668
"JOBSI0R","10","1996",40381.7368499226
"JOBSI0R","11","1996",99118.6187860336
"JOBSI0R","12","1996",72865.1281397309
"JOBSI0R","13","1996",25592.4028338306
"JOBSI0R","14","1996",8403.5725447985
"JOBSI0R","1","1997",34811.8809914655
"JOBSI0R","2","1997",211298.677460236
"JOBSI0R","3","1997",1441381.95932597
"JOBSI0R","4","1997",291908.355129829
"JOBSI0R","5","1997",12526.0758813779
"JOBSI0R","6","1997",23199.5022273368
"JOBSI0R","7","1997",62769.5705837828
"JOBSI0R","8","1997",19945.5342961333
"JOBSI0R","9","1997",41730.785333464
"JOBSI0R","10","1997",42336.9596223807
"JOBSI0R","11","1997",103112.012133849
"JOBSI0R","12","1997",77730.6041091924
"JOBSI0R","13","1997",26797.6258344594
"JOBSI0R","14","1997",8982.4537877004
"JOBSI0R","1","1998",34782.565237883
"JOBSI0R","2","1998",220312.822751721
"JOBSI0R","3","1998",1499140.40966829
"JOBSI0R","4","1998",302434.356317912
"JOBSI0R","5","1998",13174.6563525294
"JOBSI0R","6","1998",23547.6933301403
"JOBSI0R","7","1998",65120.8725346965
"JOBSI0R","8","1998",20311.8171477294
"JOBSI0R","9","1998",43199.7699978919
"JOBSI0R","10","1998",44011.7380738298
"JOBSI0R","11","1998",107890.770337142
"JOBSI0R","12","1998",81249.5343245273
"JOBSI0R","13","1998",28013.0348452813
"JOBSI0R","14","1998",9618.92650683439
"JOBSI0R","1","1999",35393.1039764693
"JOBSI0R","2","1999",228422.678515512
"JOBSI0R","3","1999",1553902.20948833
"JOBSI0R","4","1999",312089.458432284
"JOBSI0R","5","1999",13968.6758891159
"JOBSI0R","6","1999",23640.8574472254
"JOBSI0R","7","1999",65931.156941024
"JOBSI0R","8","1999",20652.4405184849
"JOBSI0R","9","1999",44415.2972135824
"JOBSI0R","10","1999",45287.0083005994
"JOBSI0R","11","1999",112125.96062991
"JOBSI0R","12","1999",83425.0721355227
"JOBSI0R","13","1999",28740.4451160333
"JOBSI0R","14","1999",9563.08638980335
"JOBSI0R","1","2000",36370.5463655125
"JOBSI0R","2","2000",246575.939910814
