"variable","regionnumber","year","value"
"JOBSI0R","1","1990",29561.5148571842
"JOBSI0R","2","1990",153240.052335271
"JOBSI0R","3","1990",1128644.65952681
"JOBSI0R","4","1990",214541.893423931
"JOBSI0R","5","1990",9723.38754040251
"JOBSI0R","6","1990",20248.9640654972
"JOBSI0R","7","1990",50931.3874123133
"JOBSI0R","8","1990",16482.4161847537
"JOBSI0R","9","1990",28983.9654464342
"JOBSI0R","10","1990",29115.6362440931
"JOBSI0R","11","1990",78793.4634807498
"JOBSI0R","12","1990",52615.559872851
"JOBSI0R","13","1990",19242.5637445341
"JOBSI0R","14","1990",6758.31887375387
"JOBSI0R","1","1991",29299.1648993506
"JOBSI0R","2","1991",159155.537766702
"JOBSI0R","3","1991",1153212.30564641
"JOBSI0R","4","1991",219766.737706162
"JOBSI0R","5","1991",9811.41957781637
"JOBSI0R","6","1991",20048.0961804846
"JOBSI0R","7","1991",50726.6275509826
"JOBSI0R","8","1991",16643.0196510182
"JOBSI0R","9","1991",30179.5081938653
"JOBSI0R","10","1991",29843.9227925067
"JOBSI0R","11","1991",80541.7097703598
"JOBSI0R","12","1991",53465.2155806643
"JOBSI0R","13","1991",19676.4324072694
"JOBSI0R","14","1991",6739.25756717848
"JOBSI0R","1","1992",29349.7691802689
"JOBSI0R","2","1992",163896.544976427
"JOBSI0R","3","1992",1179881.69840539
"JOBSI0R","4","1992",228901.187289593
"JOBSI0R","5","1992",9995.34979473879
"JOBSI0R","6","1992",20034.7432647757
"JOBSI0R","7","1992",51219.8328391682
"JOBSI0R","8","1992",16693.0530063498
"JOBSI0R","9","1992",31513.1873789373
"JOBSI0R","10","1992",31636.7481211194
"JOBSI0R","11","1992",81947.8301951995
"JOBSI0R","12","1992",55638.96242967
"JOBSI0R","13","1992",20513.3281800264
"JOBSI0R","14","1992",6755.46957123881
"JOBSI0R","1","1993",30770.6792430995
"JOBSI0R","2","1993",174561.217493663
"JOBSI0R","3","1993",1230312.0084222
"JOBSI0R","4","1993",239568.154792625
"JOBSI0R","5","1993",10465.0731553894
"JOBSI0R","6","1993",20796.4479905144
"JOBSI0R","7","1993",52274.7406589313
"JOBSI0R","8","1993",17339.9241388097
"JOBSI0R","9","1993",33866.2288340968
"JOBSI0R","10","1993",34491.606073551
"JOBSI0R","11","1993",85741.7333865032
"JOBSI0R","12","1993",60555.907719189
"JOBSI0R","13","1993",21493.1020609311
"JOBSI0R","14","1993",7096.03787003687
"JOBSI0R","1","1994",32513.4148780772
"JOBSI0R","2","1994",184537.509857026
"JOBSI0R","3","1994",1285912.44151109
"JOBSI0R","4","1994",256511.805030581
"JOBSI0R","5","1994",11148.5893323461
"JOBSI0R","6","1994",21777.3508416048
"JOBSI0R","7","1994",55251.0304312799
"JOBSI0R","8","1994",18101.2689104371
"JOBSI0R","9","1994",36961.5649457441
"JOBSI0R","10","1994",37946.4388629588
"JOBSI0R","11","1994",90778.2857455904
"JOBSI0R","12","1994",65597.6309148248
"JOBSI0R","13","1994",23183.6020210955
"JOBSI0R","14","1994",7826.84324521045
"JOBSI0R","1","1995",33341.7298794136
"JOBSI0R","2","1995",193596.704854216
"JOBSI0R","3","1995",1336433.33558314
"JOBSI0R","4","1995",269247.728043364
"JOBSI0R","5","1995",11383.1997539072
"JOBSI0R","6","1995",22160.7870322793
"JOBSI0R","7","1995",57678.9641662823
"JOBSI0R","8","1995",18663.6279763693
"JOBSI0R","9","1995",38761.7486565652
"JOBSI0R","10","1995",39542.634090591
"JOBSI0R","11","1995",94996.7116021291
"JOBSI0R","12","1995",69357.3196752123
"JOBSI0R","13","1995",24330.7254174174
"JOBSI0R","14","1995",8212.65337125307
"JOBSI0R","1","1996",34241.6381208104
"JOBSI0R","2","1996",204313.178666732
"JOBSI0R","3","1996",1382225.69015674
"JOBSI0R","4","1996",281082.133796621
"JOBSI0R","5","1996",11967.6271874049
"JOBSI0R","6","1996",22801.1452108657
"JOBSI0R","7","1996",60052.2879871565
"JOBSI0R","8","1996",19546.8701132114
"JOBSI0R","9","1996",40668.7156042052
"JOBSI0R","10","1996",40604.5381314232
"JOBSI0R","11","1996",99369.5709994602
"JOBSI0R","12","1996",72952.8547926442
"JOBSI0R","13","1996",25630.4443911373
"JOBSI0R","14","1996",8429.70589197462
"JOBSI0R","1","1997",35546.9368413527
"JOBSI0R","2","1997",212228.032564152
"JOBSI0R","3","1997",1442231.83936605
"JOBSI0R","4","1997",292181.42922087
"JOBSI0R","5","1997",12707.9010591669
"JOBSI0R","6","1997",23570.0901755444
"JOBSI0R","7","1997",62838.4524998725
"JOBSI0R","8","1997",20306.4665668987
"JOBSI0R","9","1997",41851.9658284755
"JOBSI0R","10","1997",42571.0523807312
"JOBSI0R","11","1997",103371.132251362
"JOBSI0R","12","1997",77822.2730546824
"JOBSI0R","13","1997",26837.3728645467
"JOBSI0R","14","1997",9010.29998639658
"JOBSI0R","1","1998",35516.192674652
"JOBSI0R","2","1998",221289.777255489
"JOBSI0R","3","1998",1500043.52601522
"JOBSI0R","4","1998",302720.483696149
"JOBSI0R","5","1998",13364.8868259117
"JOBSI0R","6","1998",23926.2437771572
"JOBSI0R","7","1998",65192.5954101814
"JOBSI0R","8","1998",20684.0479004997
"JOBSI0R","9","1998",43327.421393497
"JOBSI0R","10","1998",44254.2143108116
"JOBSI0R","11","1998",108160.540982124
"JOBSI0R","12","1998",81345.7872808231
"JOBSI0R","13","1998",28054.4554771822
"JOBSI0R","14","1998",9649.13200346871
"JOBSI0R","1","1999",36138.9319553017
"JOBSI0R","2","1999",229442.632571035
"JOBSI0R","3","1999",1554863.30674141
"JOBSI0R","4","1999",312388.055345816
"JOBSI0R","5","1999",14170.7978734905
"JOBSI0R","6","1999",24020.6747141195
"JOBSI0R","7","1999",66004.0413736905
"JOBSI0R","8","1999",21029.461404913
"JOBSI0R","9","1999",44548.4513358512
"JOBSI0R","10","1999",45536.446515436
"JOBSI0R","11","1999",112406.732634266
"JOBSI0R","12","1999",83524.569851162
"JOBSI0R","13","1999",28783.3157382342
"JOBSI0R","14","1999",9593.08071929615
"JOBSI0R","1","2000",37206.8431956698
"JOBSI0R","2","2000",247732.884237111
"JOBSI0R","3","2000",1644104.75008825
"JOBSI0R","4","2000",327939.68351743
"JOBSI0R","5","2000",14842.9750945202
"JOBSI0R","6","2000",23461.7462773618
"JOBSI0R","7","2000",66352.1336603146
"JOBSI0R","8","2000",21892.1298823693
"JOBSI0R","9","2000",46207.3628687327
"JOBSI0R","10","2000",48286.302109357
"JOBSI0R","11","2000",119788.326255806
"JOBSI0R","12","2000",88365.5101952877
"JOBSI0R","13","2000",30188.2815944607
"JOBSI0R","14","2000",10109.8234844427
"JOBSI0R","1","2001",37419.2037825085
"JOBSI0R","2","2001",246238.078696069
"JOBSI0R","3","2001",1629235.06418813
"JOBSI0R","4","2001",325247.894264884
"JOBSI0R","5","2001",14953.871298854
"JOBSI0R","6","2001",23501.8853024913
"JOBSI0R","7","2001",66061.0467207372
"JOBSI0R","8","2001",22058.2809750958
"JOBSI0R","9","2001",46314.4482174819
"JOBSI0R","10","2001",48332.068521023
"JOBSI0R","11","2001",119743.127934761
"JOBSI0R","12","2001",87820.2075312657
"JOBSI0R","13","2001",30166.0010109317
"JOBSI0R","14","2001",10188.5908415736
"JOBSI0R","1","2002",37034
"JOBSI0R","2","2002",247850.643051771
"JOBSI0R","3","2002",1601104.48608775
"JOBSI0R","4","2002",322878.68
"JOBSI0R","5","2002",15271.8148148148
"JOBSI0R","6","2002",22977
"JOBSI0R","7","2002",65841.4931506849
"JOBSI0R","8","2002",22206
"JOBSI0R","9","2002",47085.2923076923
"JOBSI0R","10","2002",48465.3333333333
"JOBSI0R","11","2002",119688.538275194
